net,ref,pin
CP0,R1,2
CP0,D1,1
CP0,D2,1
CP0,D3,1
CP0,D4,1
CP0,D5,1
CP0,D6,1
CP0,D7,1
CP0,D8,1
CP0,D9,1
CP0,D10,1
CP0,D11,1
CP0,D12,1
CP0,D16,2
CP0,D25,2
CP0,D46,2
CP0,D57,2
CP0,D66,2
CP0,D76,2
CP0,D86,2
CP0,D106,2
CP0,D117,2
CP0,D125,2
CP0,D144,2
CP0,D145,2
CP1,R2,2
CP1,D9,2
CP1,D13,1
CP1,D14,1
CP1,D15,1
CP1,D16,1
CP1,D17,1
CP1,D18,1
CP1,D19,1
CP1,D20,1
CP1,D21,1
CP1,D22,1
CP1,D23,1
CP1,D24,1
CP1,D27,2
CP1,D40,2
CP1,D59,2
CP1,D69,2
CP1,D78,2
CP1,D87,2
CP1,D100,2
CP1,D119,2
CP1,D127,2
CP1,D135,2
CP1,D149,2
CP2,R3,2
CP2,D11,2
CP2,D21,2
CP2,D25,1
CP2,D26,1
CP2,D27,1
CP2,D28,1
CP2,D29,1
CP2,D30,1
CP2,D31,1
CP2,D32,1
CP2,D33,1
CP2,D34,1
CP2,D35,1
CP2,D36,1
CP2,D41,2
CP2,D53,2
CP2,D67,2
CP2,D81,2
CP2,D90,2
CP2,D101,2
CP2,D111,2
CP2,D128,2
CP2,D133,2
CP2,D150,2
CP3,R4,2
CP3,D5,2
CP3,D22,2
CP3,D32,2
CP3,D37,1
CP3,D38,1
CP3,D39,1
CP3,D40,1
CP3,D41,1
CP3,D42,1
CP3,D43,1
CP3,D44,1
CP3,D45,1
CP3,D46,1
CP3,D47,1
CP3,D48,1
CP3,D49,2
CP3,D65,2
CP3,D82,2
CP3,D92,2
CP3,D103,2
CP3,D109,2
CP3,D132,2
CP3,D138,2
CP3,D152,2
CP4,R5,2
CP4,D4,2
CP4,D17,2
CP4,D35,2
CP4,D47,2
CP4,D49,1
CP4,D50,1
CP4,D51,1
CP4,D52,1
CP4,D53,1
CP4,D54,1
CP4,D55,1
CP4,D56,1
CP4,D57,1
CP4,D58,1
CP4,D59,1
CP4,D60,1
CP4,D61,2
CP4,D77,2
CP4,D95,2
CP4,D108,2
CP4,D115,2
CP4,D121,2
CP4,D142,2
CP4,D155,2
CP5,R6,2
CP5,D6,2
CP5,D13,2
CP5,D28,2
CP5,D45,2
CP5,D60,2
CP5,D61,1
CP5,D62,1
CP5,D63,1
CP5,D64,1
CP5,D65,1
CP5,D66,1
CP5,D67,1
CP5,D68,1
CP5,D69,1
CP5,D70,1
CP5,D71,1
CP5,D72,1
CP5,D73,2
CP5,D85,2
CP5,D105,2
CP5,D120,2
CP5,D124,2
CP5,D143,2
CP5,D146,2
CP6,R7,2
CP6,D7,2
CP6,D18,2
CP6,D29,2
CP6,D38,2
CP6,D58,2
CP6,D72,2
CP6,D73,1
CP6,D74,1
CP6,D75,1
CP6,D76,1
CP6,D77,1
CP6,D78,1
CP6,D79,1
CP6,D80,1
CP6,D81,1
CP6,D82,1
CP6,D83,1
CP6,D84,1
CP6,D89,2
CP6,D98,2
CP6,D118,2
CP6,D126,2
CP6,D134,2
CP6,D148,2
CP7,R8,2
CP7,D8,2
CP7,D24,2
CP7,D30,2
CP7,D37,2
CP7,D51,2
CP7,D71,2
CP7,D84,2
CP7,D85,1
CP7,D86,1
CP7,D87,1
CP7,D88,1
CP7,D89,1
CP7,D90,1
CP7,D91,1
CP7,D92,1
CP7,D93,1
CP7,D94,1
CP7,D95,1
CP7,D96,1
CP7,D97,2
CP7,D113,2
CP7,D130,2
CP7,D137,2
CP7,D151,2
CP8,R9,2
CP8,D3,2
CP8,D23,2
CP8,D33,2
CP8,D43,2
CP8,D52,2
CP8,D63,2
CP8,D83,2
CP8,D93,2
CP8,D97,1
CP8,D98,1
CP8,D99,1
CP8,D100,1
CP8,D101,1
CP8,D102,1
CP8,D103,1
CP8,D104,1
CP8,D105,1
CP8,D106,1
CP8,D107,1
CP8,D108,1
CP8,D112,2
CP8,D131,2
CP8,D139,2
CP8,D153,2
CP9,R10,2
CP9,D2,2
CP9,D14,2
CP9,D36,2
CP9,D48,2
CP9,D55,2
CP9,D62,2
CP9,D74,2
CP9,D96,2
CP9,D107,2
CP9,D109,1
CP9,D110,1
CP9,D111,1
CP9,D112,1
