net,ref,pin
SW1,D1,1
SW1,D2,1
SW1,D3,1
SW1,D4,1
SW1,D5,1
SW1,D6,1
SW1,D7,1
SW1,D8,1
SW1,D9,1
SW1,D10,1
SW1,D11,1
SW1,D12,1
SW1,D13,1
SW1,D14,1
SW1,D15,1
SW1,D16,1
SW1,D17,1
SW1,D18,1
SW1,U2,SW1
CS1,D1,2
CS1,D19,2
CS1,D37,2
CS1,D55,2
CS1,D73,2
CS1,D91,2
CS1,D109,2
CS1,D127,2
CS1,U2,CS1
CS2,D2,2
CS2,D20,2
CS2,D38,2
CS2,D56,2
CS2,D74,2
CS2,D92,2
CS2,D110,2
CS2,D128,2
CS2,U2,CS2
CS3,D3,2
CS3,D21,2
CS3,D39,2
CS3,D57,2
CS3,D75,2
CS3,D93,2
CS3,D111,2
CS3,D129,2
CS3,U2,CS3
CS4,D4,2
CS4,D22,2
CS4,D40,2
CS4,D58,2
CS4,D76,2
CS4,D94,2
CS4,D112,2
CS4,D130,2
CS4,U2,CS4
CS5,D5,2
CS5,D23,2
CS5,D41,2
CS5,D59,2
CS5,D77,2
CS5,D95,2
CS5,D113,2
CS5,D131,2
CS5,U2,CS5
CS6,D6,2
CS6,D24,2
CS6,D42,2
CS6,D60,2
CS6,D78,2
CS6,D96,2
CS6,D114,2
CS6,D132,2
CS6,U2,CS6
CS7,D7,2
CS7,D25,2
CS7,D43,2
CS7,D61,2
CS7,D79,2
CS7,D97,2
CS7,D115,2
CS7,U2,CS7
CS8,D8,2
CS8,D26,2
CS8,D44,2
CS8,D62,2
CS8,D80,2
CS8,D98,2
CS8,D116,2
CS8,U2,CS8
CS9,D9,2
CS9,D27,2
CS9,D45,2
CS9,D63,2
CS9,D81,2
CS9,D99,2
CS9,D117,2
CS9,U2,CS9
CS10,D10,2
CS10,D28,2
CS10,D46,2
CS10,D64,2
CS10,D82,2
CS10,D100,2
CS10,D118,2
CS10,U2,CS10
CS11,D11,2
CS11,D29,2
CS11,D47,2
CS11,D65,2
CS11,D83,2
CS11,D101,2
CS11,D119,2
CS11,U2,CS11
CS12,D12,2
CS12,D30,2
CS12,D48,2
CS12,D66,2
CS12,D84,2
CS12,D102,2
CS12,D120,2
CS12,U2,CS12
CS13,D13,2
CS13,D31,2
CS13,D49,2
CS13,D67,2
CS13,D85,2
CS13,D103,2
CS13,D121,2
CS13,U2,CS13
CS14,D14,2
CS14,D32,2
CS14,D50,2
CS14,D68,2
CS14,D86,2
CS14,D104,2
CS14,D122,2
CS14,U2,CS14
CS15,D15,2
CS15,D33,2
CS15,D51,2
CS15,D69,2
CS15,D87,2
CS15,D105,2
CS15,D123,2
CS15,U2,CS15
CS16,D16,2
CS16,D34,2
CS16,D52,2
CS16,D70,2
CS16,D88,2
CS16,D106,2
CS16,D124,2
CS16,U2,CS16
CS17,D17,2
CS17,D35,2
CS17,D53,2
CS17,D71,2
CS17,D89,2
CS17,D107,2
CS17,D125,2
CS17,U2,CS17
CS18,D18,2
CS18,D36,2
CS18,D54,2
CS18,D72,2
CS18,D90,2
CS18,D108,2
CS18,D126,2
CS18,U2,CS18
SW2,D19,1
SW2,D20,1
