ref,region,pos,x_mm,y_mm,angle_deg,driver,SW_net,CS_net
D1,second,0,0.0,-16.5,0.0,1,SW1,CS1
D2,second,1,1.725,-16.41,6.0,1,SW1,CS2
D3,second,2,3.431,-16.139,12.0,1,SW1,CS3
D4,second,3,5.099,-15.692,18.0,1,SW1,CS4
D5,second,4,6.711,-15.074,24.0,1,SW1,CS5
D6,second,5,8.25,-14.289,30.0,1,SW1,CS6
D7,second,6,9.698,-13.349,36.0,1,SW1,CS7
D8,second,7,11.041,-12.262,42.0,1,SW1,CS8
D9,second,8,12.262,-11.041,48.0,1,SW1,CS9
D10,second,9,13.349,-9.698,54.0,1,SW1,CS10
D11,second,10,14.289,-8.25,60.0,1,SW1,CS11
D12,second,11,15.074,-6.711,66.0,1,SW1,CS12
D13,second,12,15.692,-5.099,72.0,1,SW1,CS13
D14,second,13,16.139,-3.431,78.0,1,SW1,CS14
D15,second,14,16.41,-1.725,84.0,1,SW1,CS15
D16,second,15,16.5,0.0,90.0,1,SW1,CS16
D17,second,16,16.41,1.725,96.0,1,SW1,CS17
D18,second,17,16.139,3.431,102.0,1,SW1,CS18
D19,second,18,15.692,5.099,108.0,1,SW2,CS1
D20,second,19,15.074,6.711,114.0,1,SW2,CS2
D21,second,20,14.289,8.25,120.0,1,SW2,CS3
D22,second,21,13.349,9.698,126.0,1,SW2,CS4
D23,second,22,12.262,11.041,132.0,1,SW2,CS5
D24,second,23,11.041,12.262,138.0,1,SW2,CS6
D25,second,24,9.698,13.349,144.0,1,SW2,CS7
D26,second,25,8.25,14.289,150.0,1,SW2,CS8
D27,second,26,6.711,15.074,156.0,1,SW2,CS9
D28,second,27,5.099,15.692,162.0,1,SW2,CS10
D29,second,28,3.431,16.139,168.0,1,SW2,CS11
D30,second,29,1.725,16.41,174.0,1,SW2,CS12
D31,second,30,0.0,16.5,180.0,1,SW2,CS13
D32,second,31,-1.725,16.41,186.0,1,SW2,CS14
D33,second,32,-3.431,16.139,192.0,1,SW2,CS15
D34,second,33,-5.099,15.692,198.0,1,SW2,CS16
D35,second,34,-6.711,15.074,204.0,1,SW2,CS17
D36,second,35,-8.25,14.289,210.0,1,SW2,CS18
D37,second,36,-9.698,13.349,216.0,1,SW3,CS1
D38,second,37,-11.041,12.262,222.0,1,SW3,CS2
D39,second,38,-12.262,11.041,228.0,1,SW3,CS3
D40,second,39,-13.349,9.698,234.0,1,SW3,CS4
D41,second,40,-14.289,8.25,240.0,1,SW3,CS5
