ref,region,pos,x_mm,y_mm,angle_deg,net_anode,net_cathode,scan_row
D1,second,0,0.0,-16.5,0.0,CP0,CP11,0
D2,second,1,1.725,-16.41,6.0,CP0,CP9,0
D3,second,2,3.431,-16.139,12.0,CP0,CP8,0
D4,second,3,5.099,-15.692,18.0,CP0,CP4,0
D5,second,4,6.711,-15.074,24.0,CP0,CP3,0
D6,second,5,8.25,-14.289,30.0,CP0,CP5,0
D7,second,6,9.698,-13.349,36.0,CP0,CP6,0
D8,second,7,11.041,-12.262,42.0,CP0,CP7,0
D9,second,8,12.262,-11.041,48.0,CP0,CP1,0
D10,second,9,13.349,-9.698,54.0,CP0,CP10,0
D11,second,10,14.289,-8.25,60.0,CP0,CP2,0
D12,second,11,15.074,-6.711,66.0,CP0,CP12,0
D13,second,12,15.692,-5.099,72.0,CP1,CP5,1
D14,second,13,16.139,-3.431,78.0,CP1,CP9,1
D15,second,14,16.41,-1.725,84.0,CP1,CP10,1
D16,second,15,16.5,0.0,90.0,CP1,CP0,1
D17,second,16,16.41,1.725,96.0,CP1,CP4,1
D18,second,17,16.139,3.431,102.0,CP1,CP6,1
D19,second,18,15.692,5.099,108.0,CP1,CP12,1
D20,second,19,15.074,6.711,114.0,CP1,CP11,1
D21,second,20,14.289,8.25,120.0,CP1,CP2,1
D22,second,21,13.349,9.698,126.0,CP1,CP3,1
D23,second,22,12.262,11.041,132.0,CP1,CP8,1
D24,second,23,11.041,12.262,138.0,CP1,CP7,1
D25,second,24,9.698,13.349,144.0,CP2,CP0,2
D26,second,25,8.25,14.289,150.0,CP2,CP10,2
D27,second,26,6.711,15.074,156.0,CP2,CP1,2
D28,second,27,5.099,15.692,162.0,CP2,CP5,2
D29,second,28,3.431,16.139,168.0,CP2,CP6,2
D30,second,29,1.725,16.41,174.0,CP2,CP7,2
D31,second,30,0.0,16.5,180.0,CP2,CP11,2
D32,second,31,-1.725,16.41,186.0,CP2,CP3,2
D33,second,32,-3.431,16.139,192.0,CP2,CP8,2
D34,second,33,-5.099,15.692,198.0,CP2,CP12,2
D35,second,34,-6.711,15.074,204.0,CP2,CP4,2
D36,second,35,-8.25,14.289,210.0,CP2,CP9,2
D37,second,36,-9.698,13.349,216.0,CP3,CP7,3
D38,second,37,-11.041,12.262,222.0,CP3,CP6,3
D39,second,38,-12.262,11.041,228.0,CP3,CP12,3
D40,second,39,-13.349,9.698,234.0,CP3,CP1,3
D41,second,40,-14.289,8.25,240.0,CP3,CP2,3
D42,second,41,-15.074,6.711,246.0,CP3,CP10,3
D43,second,42,-15.692,5.099,252.0,CP3,CP8,3
D44,second,43,-16.139,3.431,258.0,CP3,CP11,3
D45,second,44,-16.41,1.725,264.0,CP3,CP5,3
D46,second,45,-16.5,0.0,270.0,CP3,CP0,3
D47,second,46,-16.41,-1.725,276.0,CP3,CP4,3
D48,second,47,-16.139,-3.431,282.0,CP3,CP9,3
D49,second,48,-15.692,-5.099,288.0,CP4,CP3,4
D50,second,49,-15.074,-6.711,294.0,CP4,CP11,4
D51,second,50,-14.289,-8.25,300.0,CP4,CP7,4
D52,second,51,-13.349,-9.698,306.0,CP4,CP8,4
D53,second,52,-12.262,-11.041,312.0,CP4,CP2,4
D54,second,53,-11.041,-12.262,318.0,CP4,CP12,4
D55,second,54,-9.698,-13.349,324.0,CP4,CP9,4
D56,second,55,-8.25,-14.289,330.0,CP4,CP10,4
D57,second,56,-6.711,-15.074,336.0,CP4,CP0,4
D58,second,57,-5.099,-15.692,342.0,CP4,CP6,4
D59,second,58,-3.431,-16.139,348.0,CP4,CP1,4
D60,second,59,-1.725,-16.41,354.0,CP4,CP5,4
D61,minute,0,0.0,-14.5,0.0,CP5,CP4,5
D62,minute,1,1.516,-14.421,6.0,CP5,CP9,5
D63,minute,2,3.015,-14.183,12.0,CP5,CP8,5
D64,minute,3,4.481,-13.79,18.0,CP5,CP11,5
D65,minute,4,5.898,-13.246,24.0,CP5,CP3,5
D66,minute,5,7.25,-12.557,30.0,CP5,CP0,5
D67,minute,6,8.523,-11.731,36.0,CP5,CP2,5
D68,minute,7,9.702,-10.776,42.0,CP5,CP12,5
D69,minute,8,10.776,-9.702,48.0,CP5,CP1,5
D70,minute,9,11.731,-8.523,54.0,CP5,CP10,5
D71,minute,10,12.557,-7.25,60.0,CP5,CP7,5
D72,minute,11,13.246,-5.898,66.0,CP5,CP6,5
D73,minute,12,13.79,-4.481,72.0,CP6,CP5,6
D74,minute,13,14.183,-3.015,78.0,CP6,CP9,6
D75,minute,14,14.421,-1.516,84.0,CP6,CP10,6
D76,minute,15,14.5,0.0,90.0,CP6,CP0,6
